通し番号	章	章内の通番	英単語	品詞	訳
156	R1	1	fly	動	飛ぶ
157	R1	2	underwater	副	水面下で、水中で
158	R1	3	for	前	〈期間を表して〉~の間ずっと
159	R1	4	or	接	または
160	R1	5	minute	名	〈時間の単位〉分
161	R1	6	carrot	名	ニンジン
162	R1	7	grass	名	草
163	R1	8	turn	動	~を回す
164	R1	9	book	名	本
165	R1	10	around	副	ぐるりと
166	R1	11	look at ~	句	~を見る
167	R1	12	every day	句	毎日
168	R1	13	turn ~ around	句	~の向きをぐるりと変える
169	YC1	1	right	形	正しい
170	YC1	2	kind	名	種類
171	YC1	3	classical	形	古典の
172	YC1	4	be	動	~である
173	YC1	5	pianist	名	ピアニスト
174	YC1	6	~, right?	句	〜ですよね。
175	YC1	7	What kind of ~?	句	どんな(種類の)~ですか。
